,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
0,2024-10-22 00:48:07.641790,2,[0],0,0,728,2.3054629097814145,0.1032,2.303399314117432
1,2024-10-22 00:48:08.698905,2,[0],0,1,728,2.30440456452577,0.1032,2.3025480728149414
2,2024-10-22 00:48:14.646673,1,[0],0,0,35713,2.2739230039351415,0.5444,2.2339817615509032
3,2024-10-22 00:48:20.105161,1,[0],0,1,35713,2.156595535412851,0.6687,2.0264036695480345
4,2024-10-22 00:48:24.021098,0,"[1, 2]",0,0,23559,2.2872849523980685,0.417,2.265932124710083
5,2024-10-22 00:48:27.933949,0,"[1, 2]",0,1,23559,2.237085556546928,0.5832,2.1965210773468016
6,2024-10-22 00:48:32.081818,0,"[1, 2]",1,0,23559,2.130523201404424,0.5897,2.033575072669983
7,2024-10-22 00:48:35.995771,0,"[1, 2]",1,1,23559,1.8723209321053758,0.6362,1.6498215702056884
8,2024-10-22 00:48:37.048803,2,[0],1,0,728,2.1986145454904307,0.5866,2.193329113006592
9,2024-10-22 00:48:38.102091,2,[0],1,1,728,2.1949408468992813,0.5894,2.1900703105926516
10,2024-10-22 00:48:43.541583,1,[0],1,0,35713,2.076153709223278,0.6408,1.8720428554534911
11,2024-10-22 00:48:48.996840,1,[0],1,1,35713,1.511084080730059,0.7537,1.1049748342514039
12,2024-10-22 00:48:50.050881,2,[0],2,0,728,1.740552868532098,0.7223,1.7194748348236084
13,2024-10-22 00:48:51.107375,2,[0],2,1,728,1.720511768175208,0.713,1.7015415853500366
14,2024-10-22 00:48:54.911638,0,"[1, 2]",2,0,23559,1.4591793415502716,0.7311,1.1651338661193849
15,2024-10-22 00:48:58.687457,0,"[1, 2]",2,1,23559,0.9955560708847162,0.7854,0.8319612273693084
16,2024-10-22 00:49:03.912104,1,[0],2,0,35713,1.3266898928284379,0.7812,0.955162462425232
17,2024-10-22 00:49:09.205247,1,[0],2,1,35713,0.80305541423848,0.8249,0.6611787294626236
18,2024-10-22 00:49:10.252021,2,[0],3,0,728,0.8362144925024199,0.7893,0.8235405962944031
19,2024-10-22 00:49:11.294288,2,[0],3,1,728,0.8257378404555114,0.7904,0.8174215667247772
20,2024-10-22 00:49:16.751082,1,[0],3,0,35713,0.6605142908503643,0.8439,0.5688895259618759
21,2024-10-22 00:49:22.346834,1,[0],3,1,35713,0.536917233798758,0.8628,0.48319539231061936
22,2024-10-22 00:49:26.194203,0,"[1, 2]",3,0,23559,0.6914600087159034,0.8322,0.6137776405096054
23,2024-10-22 00:49:30.125018,0,"[1, 2]",3,1,23559,0.5912788271276788,0.8513,0.5362101705312728
24,2024-10-22 00:49:31.251965,2,[0],4,0,728,0.5321809306092884,0.8499,0.5342402874350548
25,2024-10-22 00:49:32.374968,2,[0],4,1,728,0.5265704999151437,0.8496,0.5336632170677185
26,2024-10-22 00:49:37.975554,1,[0],4,0,35713,0.5134234844810803,0.8682,0.46481216255426405
27,2024-10-22 00:49:43.603250,1,[0],4,1,35713,0.45430245863059365,0.8795,0.4204045789599419
28,2024-10-22 00:49:47.449640,0,"[1, 2]",4,0,23559,0.5271783133175854,0.8635,0.48451733763217925
29,2024-10-22 00:49:51.266174,0,"[1, 2]",4,1,23559,0.48291155676188635,0.8726,0.4476386854469776
