,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
44,2024-10-25 14:43:29.578630,11,"[3, 7, 12]",1,0,2692,2.3022736811778954,0.0889,2.3031017349243164
45,2024-10-25 14:43:30.899574,11,"[3, 7, 12]",1,1,2692,2.3020356068244348,0.101,2.3029533416748045
46,2024-10-25 14:43:32.221308,4,"[2, 3, 12]",1,0,2681,2.3011832662991116,0.098,2.3028253547668456
47,2024-10-25 14:43:33.542297,4,"[2, 3, 12]",1,1,2681,2.30093391310601,0.098,2.302771626663208
48,2024-10-25 14:43:34.910545,1,"[2, 3, 5, 6, 9, 10, 13, 14]",1,0,3068,2.30201763783892,0.101,2.3020287700653075
49,2024-10-25 14:43:36.278842,1,"[2, 3, 5, 6, 9, 10, 13, 14]",1,1,3068,2.301771362622579,0.101,2.3019528148651123
50,2024-10-25 14:43:37.628611,0,[2],1,0,2916,2.2950785798453244,0.2089,2.291547992706299
51,2024-10-25 14:43:38.976547,0,[2],1,1,2916,2.291030808224704,0.2137,2.2876853687286376
52,2024-10-25 14:43:40.360414,12,"[4, 11]",1,0,3148,2.3035455694053377,0.0892,2.3030730827331545
53,2024-10-25 14:43:41.736209,12,"[4, 11]",1,1,3148,2.3021078787479303,0.0892,2.302392351150513
54,2024-10-25 14:43:43.063303,14,"[1, 5]",1,0,2749,2.299945147924645,0.1366,2.301406982421875
55,2024-10-25 14:43:44.391487,14,"[1, 5]",1,1,2749,2.299290117829345,0.1294,2.300919748306274
56,2024-10-25 14:43:45.692314,7,"[3, 5, 8, 11]",1,0,2535,2.3025802831229925,0.101,2.3026929244995116
57,2024-10-25 14:43:46.992195,7,"[3, 5, 8, 11]",1,1,2535,2.3022789925149403,0.101,2.3026087314605714
58,2024-10-25 14:43:48.265393,6,"[1, 2, 10]",1,0,2259,2.3017762530017905,0.0982,2.3011601470947265
59,2024-10-25 14:43:49.530986,6,"[1, 2, 10]",1,1,2259,2.30120025386273,0.0982,2.3007426197052
60,2024-10-25 14:43:50.840733,6,"[1, 2, 10]",2,0,2259,2.3019574645539405,0.1514,2.302029683303833
61,2024-10-25 14:43:52.105959,6,"[1, 2, 10]",2,1,2259,2.3017782845967254,0.101,2.301977890777588
62,2024-10-25 14:43:53.501182,10,"[1, 6]",2,0,2842,2.3004466080933472,0.1246,2.301478628540039
63,2024-10-25 14:43:54.838005,10,"[1, 6]",2,1,2842,2.299827820799324,0.1028,2.301262671279907
64,2024-10-25 14:43:56.229632,3,"[1, 2, 4, 5, 7, 9, 11]",2,0,3272,2.3021166499068095,0.101,2.302446798706055
65,2024-10-25 14:43:57.621823,3,"[1, 2, 4, 5, 7, 9, 11]",2,1,3272,2.301905571542135,0.101,2.3023929321289063
66,2024-10-25 14:43:58.944429,5,"[1, 3, 7, 14]",2,0,2703,2.301897291601057,0.101,2.3023631107330322
67,2024-10-25 14:44:00.265627,5,"[1, 3, 7, 14]",2,1,2703,2.3017272808142666,0.101,2.302328802871704
