,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
0,2024-10-22 00:51:47.991621,0,"[1, 3]",0,0,23513,2.2870777063629255,0.3673,2.2661133083343508
1,2024-10-22 00:51:51.904365,0,"[1, 3]",0,1,23513,2.2376174096347525,0.5556,2.1976313690185547
2,2024-10-22 00:51:52.892778,3,"[0, 1]",0,0,90,2.3059436082839966,0.0994,2.303974953842163
3,2024-10-22 00:51:53.873196,3,"[0, 1]",0,1,90,2.305482546488444,0.0999,2.303846000289917
4,2024-10-22 00:51:59.327227,1,"[0, 2, 3]",0,0,35687,2.2735269179743858,0.5308,2.234137753677368
5,2024-10-22 00:52:04.767152,1,"[0, 2, 3]",0,1,35687,2.1556680880016086,0.6389,2.026099439239502
6,2024-10-22 00:52:05.830085,2,[1],0,0,710,2.301926490995619,0.1032,2.3034231575012205
7,2024-10-22 00:52:06.893604,2,[1],0,1,710,2.3009453985426163,0.1032,2.302595331954956
8,2024-10-22 00:52:07.885318,3,"[0, 1]",1,0,90,2.221995790799459,0.5217,2.2123744010925295
9,2024-10-22 00:52:08.862847,3,"[0, 1]",1,1,90,2.221305807431539,0.522,2.2121067737579345
10,2024-10-22 00:52:12.776565,0,"[1, 3]",1,0,23513,2.2789477471591666,0.3188,2.2674530097961427
11,2024-10-22 00:52:16.713206,0,"[1, 3]",1,1,23513,2.2547009821651742,0.3859,2.2355522453308105
12,2024-10-22 00:52:17.771158,2,[1],1,0,710,2.296333493126763,0.1217,2.2952935066223144
13,2024-10-22 00:52:18.829014,2,[1],1,1,710,2.296099615097046,0.1256,2.295114719390869
14,2024-10-22 00:52:24.265493,1,"[0, 2, 3]",1,0,35687,2.2908108878808937,0.2134,2.2847763526916505
15,2024-10-22 00:52:29.705146,1,"[0, 2, 3]",1,1,35687,2.277553664788383,0.3403,2.2671659934997557
16,2024-10-22 00:52:30.765300,2,[1],2,0,710,2.2692555957370333,0.3536,2.266683374404907
17,2024-10-22 00:52:31.820189,2,[1],2,1,710,2.2687152915530735,0.3655,2.2661943840026857
18,2024-10-22 00:52:37.257843,1,"[0, 2, 3]",2,0,35687,2.246562157869873,0.4165,2.2181142723083496
19,2024-10-22 00:52:42.694393,1,"[0, 2, 3]",2,1,35687,2.1623520823884363,0.4289,2.074623327255249
20,2024-10-22 00:52:46.624257,0,"[1, 3]",2,0,23513,2.255138385214773,0.3897,2.2397988609313964
21,2024-10-22 00:52:50.537776,0,"[1, 3]",2,1,23513,2.220258171542161,0.4162,2.1897329193115236
22,2024-10-22 00:52:51.514513,3,"[0, 1]",2,0,90,2.262989560763041,0.3195,2.259271898651123
23,2024-10-22 00:52:52.489731,3,"[0, 1]",2,1,90,2.262684941291809,0.3205,2.2591835819244386
24,2024-10-22 00:52:56.407625,0,"[1, 3]",3,0,23513,2.2039413224272177,0.416,2.163862685775757
25,2024-10-22 00:53:00.323959,0,"[1, 3]",3,1,23513,2.107851050337967,0.4345,2.0272993232727052
26,2024-10-22 00:53:01.287750,3,"[0, 1]",3,0,90,2.2196481625239053,0.4346,2.2107877094268797
27,2024-10-22 00:53:02.251672,3,"[0, 1]",3,1,90,2.219162662823995,0.4365,2.21057292137146
28,2024-10-22 00:53:07.676444,1,"[0, 2, 3]",3,0,35687,2.1070318809275883,0.4591,1.9845093530654907
29,2024-10-22 00:53:13.100676,1,"[0, 2, 3]",3,1,35687,1.7932027360346754,0.6391,1.5321664665222168
30,2024-10-22 00:53:14.142441,2,[1],3,0,710,2.0867986943986683,0.4366,2.070099700164795
31,2024-10-22 00:53:15.185320,2,[1],3,1,710,2.0822726355658636,0.4442,2.0654948823928834
32,2024-10-22 00:53:16.247832,2,[1],4,0,710,1.9462618933783637,0.5789,1.921541132736206
33,2024-10-22 00:53:17.295029,2,[1],4,1,710,1.9379788557688395,0.5827,1.9132826471328734
34,2024-10-22 00:53:18.260134,3,"[0, 1]",4,0,90,1.7820345560709636,0.6328,1.7425054908752442
35,2024-10-22 00:53:19.226800,3,"[0, 1]",4,1,90,1.778765340646108,0.6315,1.7410673809051513
36,2024-10-22 00:53:23.127126,0,"[1, 3]",4,0,23513,1.7942985614951776,0.6164,1.599242846107483
37,2024-10-22 00:53:27.027441,0,"[1, 3]",4,1,23513,1.4110189316629553,0.6863,1.1983083854675294
38,2024-10-22 00:53:32.454941,1,"[0, 2, 3]",4,0,35687,1.6875949814307856,0.6501,1.3819394886016845
39,2024-10-22 00:53:37.880314,1,"[0, 2, 3]",4,1,35687,1.140383728065602,0.7246,0.9218040019989013
