,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
0,2024-10-22 02:10:23.714883,7,"[4, 6, 9]",0,0,3182,2.302319737535026,0.0894,2.3000867099761964
1,2024-10-22 02:10:25.080749,7,"[4, 6, 9]",0,1,3182,2.297898665145414,0.0955,2.295732190322876
2,2024-10-22 02:10:26.052995,3,"[1, 2, 5]",0,0,10,2.316077709197998,0.0992,2.3040864727020263
3,2024-10-22 02:10:27.023220,3,"[1, 2, 5]",0,1,10,2.3158156871795654,0.0994,2.3040683574676515
4,2024-10-22 02:10:28.355184,0,"[1, 2]",0,0,2815,2.303123952312903,0.1135,2.300225598907471
5,2024-10-22 02:10:29.689380,0,"[1, 2]",0,1,2815,2.2990141781893643,0.1136,2.2962234924316407
6,2024-10-22 02:10:30.954191,4,"[5, 7]",0,0,2262,2.3032268319331424,0.0646,2.3014776348114014
7,2024-10-22 02:10:32.216812,4,"[5, 7]",0,1,2262,2.3002342875574677,0.0873,2.298625497817993
8,2024-10-22 02:10:33.756014,1,"[0, 3]",0,0,4425,2.2991048463415154,0.1929,2.2963346126556394
9,2024-10-22 02:10:35.294250,1,"[0, 3]",0,1,4425,2.2925577809233957,0.2674,2.2897758121490477
10,2024-10-22 02:10:36.292871,2,"[0, 3]",0,0,79,2.303931188583374,0.1032,2.3041631072998046
11,2024-10-22 02:10:37.279943,2,"[0, 3]",0,1,79,2.3037412643432615,0.1032,2.304071762466431
12,2024-10-22 02:10:41.463847,9,"[7, 8]",0,0,25655,2.289844539694655,0.3087,2.2741197818756103
13,2024-10-22 02:10:45.652767,9,"[7, 8]",0,1,25655,2.251471314346998,0.5565,2.220884680938721
14,2024-10-22 02:10:48.140956,8,[9],0,0,12042,2.2968370987282967,0.1364,2.288653776168823
15,2024-10-22 02:10:50.616079,8,[9],0,1,12042,2.280071351316029,0.2602,2.2700334117889405
16,2024-10-22 02:10:52.435575,5,"[3, 4]",0,0,6727,2.2996865983813506,0.2066,2.2945824058532716
17,2024-10-22 02:10:54.254737,5,"[3, 4]",0,1,6727,2.2903569588468646,0.2825,2.2848774032592774
18,2024-10-22 02:10:55.590581,6,[7],0,0,2803,2.3035663163120095,0.1166,2.300954521560669
19,2024-10-22 02:10:56.922613,6,[7],0,1,2803,2.2996615293351086,0.1516,2.297061700820923
20,2024-10-22 02:10:58.775727,5,"[3, 4]",1,0,6727,2.3023472936589475,0.1135,2.3019837131500243
21,2024-10-22 02:11:00.583820,5,"[3, 4]",1,1,6727,2.302014220072368,0.1135,2.301669328689575
22,2024-10-22 02:11:02.114274,1,"[0, 3]",1,0,4425,2.3021697042651126,0.1135,2.301958885574341
23,2024-10-22 02:11:03.649430,1,"[0, 3]",1,1,4425,2.3016370280985368,0.1135,2.301505781555176
24,2024-10-22 02:11:06.141277,8,[9],1,0,12042,2.300550412055189,0.1028,2.2998851818084716
25,2024-10-22 02:11:08.623434,8,[9],1,1,12042,2.299464115583564,0.1028,2.298834234237671
26,2024-10-22 02:11:09.950500,0,"[1, 2]",1,0,2815,2.301992019469088,0.1374,2.3015458755493166
27,2024-10-22 02:11:11.277681,0,"[1, 2]",1,1,2815,2.3014433180743996,0.1274,2.301019689178467
28,2024-10-22 02:11:12.607336,6,[7],1,0,2803,2.301767639138482,0.1028,2.301580665588379
29,2024-10-22 02:11:13.934029,6,[7],1,1,2803,2.3015068769454956,0.1094,2.3013587856292723
30,2024-10-22 02:11:14.908988,3,"[1, 2, 5]",1,0,10,2.3053183555603027,0.0955,2.3025032913208006
31,2024-10-22 02:11:15.881443,3,"[1, 2, 5]",1,1,10,2.3052444458007812,0.0927,2.302504244232178
32,2024-10-22 02:11:17.255672,7,"[4, 6, 9]",1,0,3182,2.302480210011928,0.1028,2.301562296676636
33,2024-10-22 02:11:18.631763,7,"[4, 6, 9]",1,1,3182,2.3021737906202,0.1028,2.3013241821289063
34,2024-10-22 02:11:19.616789,2,"[0, 3]",1,0,79,2.3016965866088865,0.1307,2.30241088218689
