,num_clients,time,data,trial
0,8,60.749107122421265,mnist,0
1,16,62.3334105014801,mnist,0
2,33,104.41368412971497,mnist,0
3,64,191.83759760856628,mnist,0
4,8,45.25937485694885,fmnist,0
5,16,63.555721044540405,fmnist,0
6,33,103.61501383781433,fmnist,0
7,64,194.20417404174805,fmnist,0
8,8,94.40242671966553,tiny_mem,0
9,16,125.23250842094421,tiny_mem,0
10,33,204.88894963264465,tiny_mem,0
11,64,359.5888273715973,tiny_mem,0
12,8,128.79864764213562,cifar10_vgg,0
13,16,186.70608472824097,cifar10_vgg,0
14,33,318.5899384021759,cifar10_vgg,0
15,64,591.3936183452606,cifar10_vgg,0
16,8,133.30282878875732,cifar100_vgg,0
17,16,102.71107006072998,cifar100_vgg,0
18,33,187.31126976013184,cifar100_vgg,0
